NO,TANGGAL ORDER,TANGGAL BONGKAR,KOTA,TUJUAN BONGKAR, TARIF , TONASE MUAT , TONASE BONGKAR  , OMSET , PAJAK 1% ,POT 2% LJU,5% UJ GRB, SANGU (31 TON) , PROFIT , TOLERANSI 0.3% , SELISIH MUAT , KLAIM , KLAIM DRIVER ,PEMBAYARAN, INSENTIF ,DIBAYARKAN,PEMBAYARAN,BANTUAN UANG MAKAN,PEMBAYARAN,TABUNGAN,PEMBAYARAN,MAS MAWAN (CV. SATRIA PERWIRA)/DO,PEMBAYARAN,MBAH MAN (SILOG)/DO,PEMBAYARAN,CATATAN,TOLERANSI MUATAN 0.3%,KLAIM 
60,"Rabu, 17 Desember 2025","Kamis, 18 Desember 2025",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,-,"36,72","  4.279.862,88 ","  42.798,63 ",,,"1.900.000,00","2.062.064,25",-,-,-,,-,"35.000,00","175.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 20 Des 25 5rit,,,"20 Des 25 Mas Mawan 4 rit (2 rit putih, 2 rit hijau)",,
61,"Senin, 22 Desember 2025","Rabu, 24 Desember 2025",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"34,17","  6.495.033,60 ","  64.950,34 ",,,"2.800.000,00","3.330.083,26",-,-,-,-,-,"50.000,00","150.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 28 Des 25,-,-,"100.000,00",Sudah dibayar 30 Des 25 2rit,,,"Kurang 230kg, 34.4 jadi 34.17",,
62,"Sabtu, 27 Desember 2025","Senin, 29 Desember 2025",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,-,"34,08","  3.972.160,32 ","  39.721,60 ",,,"1.900.000,00","1.827.438,72",-,-,-,-,-,"35.000,00","105.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 30 Des 25 2rit,,,"30 Des 25 Mas Mawan 4 rit (2rit putih, 2 rit hijau)",,
63,"Senin, 29 Desember 2025","Sabtu, 3 Januari 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,-,"33,23","  6.316.358,40 ","  63.163,58 ",,,"2.800.000,00","3.253.194,82",-,-,-,-,-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 11 Jan 26 4 rit,,,"Lebih 50kg, 33.18 jadi 33,23",,
64,"Selasa, 6 Januari 2026","Kamis, 8 Januari 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"32,36","32,02","  3.732.059,08 ","  37.320,59 ",,,"1.900.000,00","1.659.738,49","0,097","0,34","242.920,00","121.460,00",15 Juni 2026,"35.000,00","35.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 11 Jan 26 4 rit,,,"Kurang 340kg, 32.36 jadi 32.02","97,08","242,92"
65,"Sabtu, 10 Januari 2026","Senin, 12 Januari 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"31,84","31,84","  6.052.147,20 ","  60.521,47 ",,,"2.800.000,00","3.041.625,73","0,096","0,00","0,00","0,00",-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 13 Jan 26,-,-,"100.000,00",Sudah dibayar 11 Jan 26 4 rit,,,,,
66,"Selasa, 13 Januari 2026","Sabtu, 17 Januari 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"34,90","34,67","  6.590.073,60 ","  65.900,74 ",,,"2.800.000,00","3.374.172,86","0,105","0,23","125.300,00","62.650,00",15 Juni 2026,"50.000,00","150.000,00",Sudah dibayar 17 Mar 26,"100.000,00",Sudah dibayar 21 Jan 26,-,-,"100.000,00",Sudah dibayar 11 Jan 26 4 rit,,,"Kurang 230kg, 34.9 jadi 34.67 11 Jan 26 Mas Mawan 7 rit (4 rit putih, 3 rit hijau)","104,7","125,3"
67,"Rabu, 21 Januari 2026","Kamis, 22 Januari 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"37,20","37,20","  4.335.808,80 ","  43.358,09 ",,,"1.900.000,00","2.082.450,71","0,112","0,00","0,00","0,00",-,"35.000,00","210.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 5 Feb 26 4 rit,,,,,
68,"Selasa, 27 Januari 2026","Kamis, 29 Januari 2026",SAYUNG BF12,JIANHUA PRECAST (SAYUNG),"120.890,90","35,72","35,37","  4.275.911,13 ","  42.759,11 ",,,"1.900.000,00","2.033.152,02","0,107","0,35","242.840,00","121.420,00",15 Juni 2026,"50.000,00","200.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 5 Feb 26 4 rit,,,"Kurang 350kg, 35.72 jadi 35.37","107,16","242,84"
69,"Kamis, 29 Januari 2026","Sabtu, 31 Januari 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"32,36","32,21","  6.122.476,80 ","  61.224,77 ",,,"2.800.000,00","3.061.252,03","0,097","0,15","52.920,00","26.460,00",15 Juni 2026,"50.000,00","50.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 2 Feb 26,-,-,"100.000,00",Sudah dibayar 5 Feb 26 4 rit,,,"Kurang 150kg, 32.36 jadi 32.10","97,08","52,92"
70,"Senin, 2 Februari 2026","Selasa, 3 Februari 2026",JEPARA BG07,ARYA BETON MITRA PERKASA (JEPARA),"114.808,30","35,40","35,40","  4.064.213,82 ","  40.642,14 ",,,"1.800.000,00","1.923.571,68","0,106","0,00","0,00","0,00",-,"50.000,00","200.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 5 Feb 26 4 rit,,,"5 Feb 25 Mas Wawan 11 rit (4 rit putih, 7 rit hijau)",,
71,"Kamis, 5 Februari 2026","Jumat, 6 Februari 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"33,40","32,96","  3.841.619,84 ","  38.416,20 ",,,"1.900.000,00","1.733.203,64","0,100","0,44","339.800,00","169.900,00",15 Juni 2026,"35.000,00","70.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,"Kurang 440kg, 33.4 jadi 32,96","100,2","339,8"
72,"Senin, 9 Februari 2026","Selasa, 10 Februari 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"33,18","33,18","  6.306.854,40 ","  63.068,54 ",,,"2.800.000,00","3.243.785,86","0,100","0,00","0,00","0,00",-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,,,
73,"Rabu, 11 Februari 2026","Jumat, 13 Februari 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"34,78","34,49","  6.555.859,20 ","  65.558,59 ",,,"2.800.000,00","3.440.300,61","0,104","0,29","185.660,00","92.830,00",15 Juni 2026,"50.000,00","150.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,"Kurang 290kg, 34,78 jadi 34,49","104,34","185,66"
74,"Senin, 16 Februari 2026","Rabu, 18 Februari 2026",UNGARAN,KH BETON (UNGARAN),190.080,"33,96","33,79","  6.422.803,20 ","  64.228,03 ",,,"2.800.000,00","3.358.575,17","0,102","0,17","68.120,00","34.060,00",15 Juni 2026,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,"Kurang 170kg, 33.96 jadi 33.79","101,88","68,12"
75,"Kamis, 19 Februari 2026","Jumat, 20 Februari 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"35,26","35,26","  4.109.694,04 ","  41.096,94 ",,,"1.900.000,00","1.928.597,10","0,106","0,00","0,00","0,00",-,"35.000,00","140.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,,,
76,"Sabtu, 21 Februari 2026","Sabtu, 21 Februari 2026",JEPARA BG07,ARYA BETON MITRA PERKASA (JEPARA),"114.808,30","33,14","33,14","  3.804.747,06 ","  38.047,47 ",,,"1.800.000,00","1.766.699,59","0,099","0,00","0,00","0,00",-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,,,
77,"Senin, 23 Februari 2026","Selasa, 24 Februari 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"38,12","38,12","  4.443.038,48 ","  44.430,38 ",,,"1.900.000,00","2.153.608,10","0,114","0,00","0,00","0,00",-,"35.000,00","245.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,,,
78,"Rabu, 25 Februari 2026","Jumat, 27 Februari 2026",SUKOHARJO,GRIYA PAVING MANDIRI (SUKOHARJO),147.316,"34,06","34,06","  5.017.582,96 ","  50.175,83 ",,,"2.800.000,00","1.917.407,13","0,102","0,00","0,00","0,00",-,"50.000,00","150.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 26 Feb 26 8 rit,,,"26 Feb 26 Mas Mawan 15 rit (8 rit putih, 7 rit hijau)",,
79,"Minggu, 1 Maret 2026","Selasa, 3 Maret 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"34,84","34,84","  4.060.741,36 ","  40.607,41 ",,,"1.900.000,00","1.915.133,95","0,105","0,00","0,00","0,00",-,"35.000,00","105.000,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 3 April 26 5 rit,,,"Lebih 200kg, 34.84 jadi 35.04",,
80,"Kamis, 5 Maret 2026","Sabtu, 7 Maret 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"31,44","31,44","  6.185.294,32 ","  61.852,94 ",,,"3.100.000,00","2.923.441,38","0,094","0,00","0,00","0,00",-,"50.000,00","0,00",Sudah dibayar 17 Mar 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 3 April 26 5 rit,,,,,
81,"Minggu, 8 Maret 2026","Selasa, 10 Maret 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"33,64","33,64","  6.394.291,20 ","  63.942,91 ",,,"2.800.000,00","3.280.348,29","0,101","0,00","0,00","0,00",-,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"50.000,00",Sudah dibayar 12 Mar 26,-,-,"100.000,00",Sudah dibayar 3 April 26 5 rit,,,"Lebih 180kg, 33.64 jadi 33,82",,
82,"Kamis, 12 Maret 2026","Jumat, 13 Maret 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"33,60","33,42","  6.352.473,60 ","  63.524,74 ",,,"2.800.000,00","3.288.948,86","0,101","0,18","79.200,00","39.600,00",15 Juni 2026,"50.000,00","100.000,00",Sudah dibayar 17 Mar 26,"0,00",-,,,"100.000,00",Sudah dibayar 3 April 26 5 rit,,,"Kurang 180kg, 33.60 jadi 33.42",,
83,"Senin, 30 Maret 2026","Selasa, 31 Maret 2026",SEMARANG,VUB BP SEMARANG (SEMARANG),116.554,"32,56","32,56","  3.794.998,24 ","  37.949,98 ",,,"1.900.000,00","1.722.048,26","0,098","0,00","0,00","0,00",-,"35.000,00","35.000,00",Sudah dibayar 15 Juni 26,"0,00",-,,,"100.000,00",Sudah dibayar 3 April 26 5 rit,,,"Mas Mawan 10 rit (5 rit putih, 5 rit hijau)",,
84,"Jumat, 3 April 2026","Sabtu, 4 April 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"33,44","33,44","  6.578.760,88 ","  65.787,61 ",,,"3.200.000,00","3.112.973,27","0,100","0,00","0,00","0,00",-,"50.000,00","100.000,00",Sudah dibayar 15 Juni 26,"0,00",-,,,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,,,
85,"Selasa, 7 April 2026","Minggu, 12 April 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"35,48","35,48","  6.744.038,40 ","  67.440,38 ",,,"2.800.000,00","3.576.598,02","0,106","0,00","0,00","0,00",-,"50.000,00","200.000,00",Sudah dibayar 15 Juni 26,"0,00",-,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,"Lebih 10kg, 35.48 jadi 35.49",,
86,"Rabu, 15 April 2026","Kamis, 16 April 2026",SRAGEN,SUPERIOR PRIMA SUKSES (SRAGEN),126.386,"34,84","34,84","  4.403.288,24 ","  44.032,88 ",,,"2.250.000,00","1.859.255,36","0,105","0,00","0,00","0,00",-,"50.000,00","150.000,00",Sudah dibayar 15 Juni 26,"0,00",-,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,"Lebih 10kg, 35.48 jadi 35.49",,
87,"Kamis, 16 April 2026","Sabtu, 18 April 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"33,84","33,72","  3.930.200,88 ","  39.302,01 ",,,"1.900.000,00","1.820.898,87","0,102","0,12","18.480,00","9.240,00",15 Juni 2026,"35.000,00","70.000,00",Sudah dibayar 15 Juni 26,"0,00",-,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,"Kurang 120kg, 33.84 jadi 33.72",,
88,"Sabtu, 18 April 2026","Rabu, 22 April 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"34,58","34,58","  6.803.036,82 ","  68.030,37 ",,,"3.200.000,00","3.185.006,45","0,104","0,00","0,00","0,00",-,"50.000,00","150.000,00",Sudah dibayar 15 Juni 26,"100.000,00",Sudah dibayar 23 April 26,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,,,
89,"Kamis, 23 April 2026","Minggu, 26 April 2026",SALATIGA,TRIPILAR BETON MAS (SALATIGA),166.925,"33,56","33,34","  5.565.279,50 ","  55.652,80 ",,,"2.900.000,00","2.359.626,71","0,101","0,22","119.320,00","59.660,00",15 Juni 2026,"50.000,00","100.000,00",Sudah dibayar 15 Juni 26,"50.000,00",Sudah dibayar 27 April 26,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,"Kurang 220kg, 33.56 jadi 33.34",,
90,"Senin, 27 April 2026","Selasa, 28 April 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"32,76","32,68","  6.211.814,40 ","  62.118,14 ",,,"2.800.000,00","3.199.696,26","0,098","0,08","0,00","0,00",-,"50.000,00","50.000,00",Sudah dibayar 15 Juni 26,"0,00",-,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,"Lebih 10kg, 35.48 jadi 35.49",,
91,"Rabu, 29 April 2026","Jumat, 1 Mei 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"34,50","34,26","  6.512.140,80 ","  65.121,41 ",,,"2.800.000,00","3.347.019,39","0,104","0,24","136.500,00","68.250,00",15 Juni 2026,"50.000,00","150.000,00",Sudah dibayar 15 Juni 26,"50.000,00",Sudah dibayar 3 Mei 26,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,"Kurang 220kg, 33.56 jadi 33.34",,
92,"Sabtu, 2 Mei 2026","Senin, 4 Mei 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"34,32","34,32","  6.751.886,17 ","  67.518,86 ",,,"3.200.000,00","3.234.367,31","0,103","0,00","0,00","0,00",-,"50.000,00","150.000,00",Sudah dibayar 15 Juni 26,"0,00",-,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,,,
93,"Selasa, 5 Mei 2026","Jumat, 8 Mei 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"34,58","34,58","  6.572.966,40 ","  65.729,66 ",,,"2.800.000,00","3.407.236,74","0,104","0,00","0,00","0,00",-,"50.000,00","150.000,00",Sudah dibayar 15 Juni 26,"50.000,00",Sudah dibayar 9 Mei 26,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 8 Mei 26 10 rit,,,"Lebih 150kg, 34.58 jadi 34.73, Do Putih Hijau diambil 10+10rit (ambil cash 1 juta+ bayar ban 1 juta)",,
94,"Sabtu, 9 Mei 2026","Minggu, 10 Mei 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"35,52","35,50","  6.984.031,44 ","  69.840,31 ",,,"3.200.000,00","3.414.191,13","0,107","0,02","0,00","0,00",-,"50.000,00","200.000,00",Sudah dibayar 15 Juni 26,"0,00",-,"100.000,00",Sudah dibayar 12 Mei 26,"100.000,00",Sudah dibayar 29 Mei 26 8 rit,,,"Kurang 20kg, 35.52 jadi 35.50. Tab Yono bayar Bando 1juta",,
95,"Selasa, 12 Mei 2026","Kamis, 14 Mei 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"33,14","33,13","  6.517.773,57 ","  65.177,74 ",,,"3.200.000,00","3.052.595,83","0,099","0,01","0,00","0,00",-,"50.000,00","100.000,00",Sudah dibayar 15 Juni 26,"0,00",-,-,-,"100.000,00",Sudah dibayar 29 Mei 26 8 rit,,,"Kurang 10kg, 33.14 jadi 33.13",,
96,"Jumat, 15 Mei 2026","Selasa, 19 Mei 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"33,46","33,46","  6.582.695,55 ","  65.826,96 ",,,"3.200.000,00","3.016.868,59","0,100","0,00","0,00","0,00",-,"50.000,00","100.000,00",Sudah dibayar 15 Juni 26,"100.000,00",Sudah dibayar 20 Mei 26,-,-,"100.000,00",Sudah dibayar 29 Mei 26 8 rit,,,,,
97,"Rabu, 20 Mei 2026","Jumat, 22 Mei 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"31,24","31,20","  6.138.078,34 ","  61.380,78 ",,,"3.200.000,00","2.726.697,55","0,094","0,04","0,00","0,00",-,"50.000,00","0,00",Sudah dibayar 15 Juni 26,"50.000,00",Sudah dibayar 23 Mei 26,-,-,"100.000,00",Sudah dibayar 29 Mei 26 8 rit,,,"Kurang 40kg, 31.24 jadi 31.2",,
98,"Sabtu, 23 Mei 2026","Selasa, 26 Mei 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"35,98","35,87","  7.056.822,75 ","  70.568,23 ",,,"3.200.000,00","3.386.254,53","0,108","0,11","2.060,00","1.030,00",15 Juni 2026,"50.000,00","250.000,00",Sudah dibayar 15 Juni 26,"50.000,00",Sudah dibayar 31 Mei 26,"100.000,00",Sudah dibayar 15 Juni 26,"100.000,00",Sudah dibayar 29 Mei 26 8 rit,,,"Kurang 40kg, 35.98 jadi 35.87. Do Putih 5 + Hijau 3 rit (800rb)",,
99,"Minggu, 31 Mei 2026","Selasa, 2 Juni 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"34,46","34,07","  6.476.025,60 ","  64.760,26 ",,,"2.800.000,00","3.167.955,34","0,103","0,39","286.620,00","143.310,00",15 Juni 2026,"50.000,00","150.000,00",Sudah dibayar 15 Juni 26,"50.000,00",Sudah dibayar 5 Juni 26,"100.000,00",Sudah dibayar 15 Juni 26,"100.000,00",Disimpan,,,"Kurang 390kg, 34.46 jadi 34.07",,
100,"Jumat, 5 Juni 2026","Sabtu, 6 Juni 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"31,36","31,15","  3.630.657,10 ","  36.306,57 ",,,"1.900.000,00","1.536.390,53","0,094","0,21","115.920,00","57.960,00",15 Juni 2026,"35.000,00","0,00",Sudah dibayar 15 Juni 26,"0,00",-,"100.000,00",Sudah dibayar 15 Juni 26,"100.000,00",Disimpan,,,"Kurang 210kg, 31.36 jadi 31.15",,
101,"Senin, 8 Juni 2026","Selasa, 9 Juni 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"33,34","33,06","  3.853.275,24 ","  38.532,75 ",,,"1.900.000,00","1.654.752,49","0,100","0,28","179.980,00","89.990,00",15 Juni 2026,"35.000,00","70.000,00",Sudah dibayar 15 Juni 26,"0,00",-,Lupa Potong,Sudah dibayar 15 Juni 26,"100.000,00",Disimpan,,,"Kurang 280kg, 33.34 jadi 33.06",,
102,"Rabu, 10 Juni 2026","Kamis, 11 Juni 2026",UNGARAN,KH BETON (UNGARAN),190.080,"35,26","35,16","  6.683.212,80 ","  66.832,13 ",,,"2.800.000,00","3.516.380,67","0,106","0,10","0,00","0,00",-,"50.000,00","200.000,00",Sudah dibayar 15 Juni 26,"0,00",-,"100.000,00",Sudah dibayar 15 Juni 26,"100.000,00",Disimpan,,,"Kurang 100kg, 35.26 jadi 35.16","101,88","68,12"
103,"Sabtu, 13 Juni 2026","Senin, 15 Juni 2026",UNGARAN,APB BP BAWEN / TOL JBW SEC 6 (BAWEN),190.080,"35,50","35,49","  6.745.939,20 ","  67.459,39 ",,,"2.800.000,00","3.528.479,81","0,107","0,01","0,00","0,00",-,"50.000,00","200.000,00",Sudah dibayar 15 Juni 26,"50.000,00",Sudah dibayar 18 Juni 26,"100.000,00",Sudah dibayar 15 Juni 26,"100.000,00",Disimpan,,,"Tgl 15 Juni 26, Insentif 2.575.000, klaim 1.097.820, Tab 500.000",,
104,"Kamis, 18 Juni 2026","Jumat, 19 Juni 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"31,00","31,00","  3.613.174,00 ","  36.131,74 ",,,"1.900.000,00","1.577.042,26","0,093","0,00","0,00","0,00",-,"35.000,00","0,00",Sudah dibayar 15 Juli 26,"0,00",-,"100.000,00",Sudah dibayar 15 Juli 26,"100.000,00",Disimpan,,,"Lebih 90kg, 31 jadi 31.90",,
105,"Rabu, 24 Juni 2026","Jumat, 26 Juni 2026",UNGARAN,JATI KENCANA BETON (UNGARAN),190.080,"34,92","34,60","  6.576.768,00 ","  65.767,68 ",,,"2.800.000,00","3.303.380,32","0,105","0,32","215.240,00","107.620,00",15 Juli 2026,"50.000,00","150.000,00",Sudah dibayar 15 Juli 26,"50.000,00",Sudah dibayar 27 Juni 26,"100.000,00",Sudah dibayar 15 Juli 26,"100.000,00",Disimpan,,,"Kurang 390kg, 34.46 jadi 34.07",,
106,"Sabtu, 27 Juni 2026","Selasa, 30 Juni 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"34,64","34,64","  4.037.430,56 ","  40.374,31 ",,,"2.000.000,00","1.777.056,25","0,104","0,00","0,00","0,00",-,"35.000,00","70.000,00",Sudah dibayar 15 Juli 26,"50.000,00",Sudah dibayar 1 Juli 26,"100.000,00",Sudah dibayar 15 Juli 26,"100.000,00",Disimpan,,,"Tgl 15 Juli 26, Insentif 480.000, klaim 258.800, Tab 300.000 Total 521.200",,
107,"Rabu, 1 Juli 2026","Kamis, 2 Juli 2026",LAMONGAN,SUPERIOR PRIMA SUKSES (LAMONGAN),133.224,"33,02","33,02","  4.399.056,48 ",,,"  115.000,00 ","2.300.000,00","1.804.056,48","0,099","0,00","0,00","0,00",-,"40.000,00","80.000,00",Sudah dibayar 15 Juli 26,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,Potongan LJU belum dipotong ,,
108,"Selasa, 7 Juli 2026","Rabu, 8 Juli 2026",BOJONEGORO,EDOMIX KIRUN TANGGUH (BOJONEGORO),82.906,"33,82","33,82","  2.803.880,92 ","  28.038,81 ",,,"1.250.000,00","1.385.842,11","0,101","0,00","0,00","0,00",-,"20.000,00","40.000,00",Sudah dibayar 15 Juli 26,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,,,
109,"Kamis, 9 Juli 2026","Jumat, 10 Juli 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"35,88","35,47","  4.134.170,38 ","  41.341,70 ",,,"1.900.000,00","1.801.648,68","0,108","0,41","302.360,00","151.180,00",15 Juli 2026,"35.000,00","140.000,00",Sudah dibayar 15 Juli 26,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,"Kurang 410kg, 35.88 jadi 35.47",,
110,"Rabu, 15 Juli 2026","Kamis, 16 Juli 2026",SEMARANG,INAX (SEMARANG),116.554,"34,54","33,96","  3.958.173,84 ","  39.581,74 ",,,"2.000.000,00","1.510.402,10","0,104","0,58","476.380,00","238.190,00",Belum Potong,"35.000,00","70.000,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,,,
111,"Kamis, 16 Juli 2026","Sabtu, 18 Juli 2026",MAGELANG,MIWA JAYA ABADI (MAGELANG),196.733,"34,96","34,70","  6.826.644,82 ","  68.266,45 ",,,"3.200.000,00","3.230.818,37","0,105","0,26","155.120,00","77.560,00",Belum Potong,"50.000,00","150.000,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,"Kurang 260kg, 34.96 jadi 34.74",,
112,"Senin, 20 Juli 2026","Selasa, 21 Juli 2026",SEMARANG,ARIES PUTRA BETON (SEMARANG),116.554,"36,74","36,74","  4.282.193,96 ","  42.821,94 ",,,"2.000.000,00","1.999.372,02","0,110","0,00","0,00","0,00",-,"35.000,00","140.000,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,,,
113,"Kamis, 23 Juli 2026","Jumat, 24 Juli 2026",SEMARANG,VUB BP SEMARANG (SEMARANG),116.554,"38,64","38,64","  4.503.646,56 ","  45.036,47 ",,,"2.000.000,00","2.148.610,09","0,116","0,00","0,00","0,00",-,"35.000,00","210.000,00",Disimpan,"0,00",-,"100.000,00",Disimpan,"100.000,00",Disimpan,,,,,
114,"Minggu, 26 Juli 2026","Senin, 27 Juli 2026",SEMARANG,JATI KENCANA BETON (SEMARANG),116.554,"32,96","32,74","  3.815.977,96 ","  38.159,78 ",,,"2.000.000,00","1.617.258,18","0,099","0,22","121.120,00","60.560,00",Belum Potong,"35.000,00","0,00",Disimpan,"0,00",-,"100.000,00",Disimpan,"100.000,00",Disimpan,,,"Kurang 220kg, 32.96 jadi 32.74",,
115,"Selasa, 28 Juli 2026","Kamis, 30 Juli 2026",MAGELANG,MIWA JAYA ABADI MUNTILAN (MAGELANG),196.733,"31,44","31,44","  6.185.294,32 ","  61.852,94 ",,,"3.200.000,00","2.773.441,38","0,094","0,00","0,00","0,00",-,"50.000,00","0,00",Disimpan,"50.000,00",Sudah dibayar 5 Agst 26,Tidak potong,-,"100.000,00",Disimpan,,,,,
116,"Jumat, 31 Juli 2026","Senin, 3 Agustus 2026",SEMARANG,JIANHUA PRECAST (SAYUNG),116.554,"33,54","33,05","  3.852.109,70 ","  38.521,10 ",,,"1.900.000,00","1.548.898,60","0,101","0,49","389.380,00","194.690,00",Belum Potong,"35.000,00","70.000,00",Disimpan,"0,00",-,Tidak potong,-,"100.000,00",Disimpan,,,"Kurang 490kg, 33.54 jadi 33.05",,
